iter	Passed	Remaining
0	48	48527
1	50	24992
2	51	17018
3	52	13041
4	53	10667
5	54	9029
6	55	7845
7	56	6961
8	56	6275
9	57	5739
10	58	5281
11	59	4912
12	60	4593
13	61	4336
14	62	4089
15	63	3878
16	63	3697
17	64	3530
18	65	3385
19	66	3249
20	67	3127
21	67	3022
22	68	2928
23	69	2838
24	70	2754
25	71	2675
26	72	2610
27	72	2532
28	73	2471
29	74	2413
30	75	2361
31	75	2298
32	76	2246
33	77	2199
34	78	2157
35	79	2118
36	79	2080
37	80	2041
38	81	2005
39	82	1971
40	82	1939
41	83	1908
42	84	1881
43	84	1846
44	85	1818
45	86	1793
46	87	1768
47	87	1744
48	88	1721
49	89	1699
50	90	1676
51	90	1653
52	91	1632
53	92	1613
54	92	1594
55	93	1574
56	93	1555
57	94	1535
58	95	1517
59	95	1500
60	96	1482
61	96	1465
62	97	1448
63	97	1430
64	98	1413
65	98	1397
66	99	1380
67	99	1361
68	99	1346
69	100	1330
70	100	1316
71	101	1301
72	101	1287
73	101	1274
74	102	1260
75	102	1247
76	102	1233
77	103	1220
78	103	1207
79	103	1194
80	104	1182
81	104	1169
82	104	1157
83	105	1145
84	105	1133
85	105	1121
86	105	1109
87	105	1098
88	106	1087
89	106	1077
90	106	1066
91	107	1056
92	107	1046
93	107	1036
94	107	1026
95	107	1016
96	108	1007
97	108	998
98	108	989
99	108	980
100	109	971
101	109	962
102	109	953
103	109	945
104	109	936
105	110	928
106	110	920
107	110	912
108	110	904
109	110	896
110	111	889
111	111	881
112	111	874
113	111	867
114	111	860
115	111	852
116	112	846
117	112	839
118	112	832
119	112	825
120	112	819
121	113	813
122	113	806
123	113	800
124	113	794
125	113	788
126	113	782
127	113	776
128	114	770
129	114	765
130	114	759
131	114	754
132	114	749
133	115	744
134	115	738
135	115	733
136	115	728
137	115	723
138	116	718
139	116	713
140	116	709
141	116	704
142	116	699
143	116	695
144	117	690
145	117	685
146	117	681
147	117	677
148	117	672
149	117	668
150	118	664
151	118	660
152	118	656
153	118	652
154	118	648
155	119	644
156	119	640
157	119	636
158	119	632
159	119	628
160	119	625
161	120	621
162	120	617
163	120	614
164	120	610
165	120	607
166	121	603
167	121	600
168	121	597
169	121	593
170	121	590
171	121	587
172	122	583
173	122	580
174	122	577
175	122	574
176	122	571
177	123	568
178	123	565
179	123	562
180	123	558
181	123	555
182	123	553
183	124	550
184	124	547
185	124	544
186	124	541
187	124	538
188	124	536
189	125	533
190	125	530
191	125	528
192	125	525
193	125	522
194	126	520
195	126	517
196	126	515
197	126	512
198	126	510
199	126	507
200	127	505
201	127	503
202	127	500
203	127	498
204	127	495
205	128	493
206	128	491
207	128	489
208	128	486
209	128	484
210	128	482
211	129	480
212	129	477
213	129	475
214	129	473
215	129	471
216	130	469
217	130	467
218	130	465
219	130	463
220	130	461
221	131	459
222	131	457
223	131	455
224	131	453
225	131	451
226	131	449
227	132	447
228	132	445
229	132	443
230	132	441
231	132	439
232	133	438
233	133	436
234	133	434
235	133	433
236	133	431
237	134	429
238	134	427
239	134	425
240	134	424
241	134	422
242	135	420
243	135	419
244	135	417
245	135	416
246	135	414
247	136	412
248	136	411
249	136	409
250	136	407
251	136	406
252	137	404
253	137	403
254	137	401
255	137	400
256	137	398
257	138	397
258	138	395
259	138	394
260	138	392
261	138	391
262	139	389
263	139	388
264	139	386
265	139	385
266	139	383
267	140	382
268	140	381
269	140	379
270	140	378
271	140	376
272	141	375
273	141	374
274	141	372
275	141	371
276	141	370
277	141	368
278	142	367
279	142	366
280	142	365
281	142	363
282	143	362
283	143	361
284	143	360
285	143	358
286	143	357
287	144	356
288	144	355
289	144	353
290	144	352
291	144	351
292	145	350
293	145	348
294	145	347
295	145	346
296	145	345
297	146	344
298	146	343
299	146	342
300	146	340
301	146	339
302	147	338
303	147	337
304	147	336
305	147	334
306	147	333
307	148	332
308	148	331
309	148	330
310	148	329
311	148	328
312	149	327
313	149	325
314	149	324
315	149	323
316	149	322
317	149	321
318	150	320
319	150	319
320	150	318
321	150	317
322	150	316
323	151	315
324	151	314
325	151	313
326	151	312
327	151	311
328	152	310
329	152	309
330	152	308
331	152	307
332	152	306
333	153	305
334	153	304
335	153	303
336	153	302
337	153	301
338	154	300
339	154	299
340	154	298
341	154	297
342	154	296
343	154	295
344	155	294
345	155	293
346	155	292
347	155	291
348	155	290
349	156	290
350	156	289
351	156	288
352	156	287
353	156	286
354	157	285
355	157	284
356	157	283
357	157	282
358	157	281
359	157	280
360	158	279
361	158	279
362	158	278
363	158	277
364	158	276
365	159	275
366	159	274
367	159	273
368	159	272
369	159	272
370	159	271
371	160	270
372	160	269
373	160	268
374	160	268
375	161	267
376	161	266
377	161	265
378	161	264
379	161	264
380	162	263
381	162	262
382	162	261
383	162	260
384	162	260
385	163	259
386	163	258
387	163	257
388	163	256
389	163	256
390	163	255
391	164	254
392	164	253
393	164	253
394	164	252
395	164	251
396	165	250
397	165	250
398	165	249
399	165	248
400	165	247
401	166	247
402	166	246
403	166	245
404	166	245
405	166	244
406	167	243
407	167	242
408	167	242
409	167	241
410	167	240
411	168	239
412	168	239
413	168	238
414	168	237
415	168	237
416	169	236
417	169	235
418	169	234
419	169	234
420	169	233
421	169	232
422	170	232
423	170	231
424	170	230
425	170	229
426	170	229
427	171	228
428	171	227
429	171	227
430	171	226
431	171	225
432	171	225
433	172	224
434	172	223
435	172	223
436	172	222
437	172	221
438	173	221
439	173	220
440	173	219
441	173	219
442	173	218
443	173	217
444	174	217
445	174	216
446	174	215
